Player,Season,Team,Minutes,Position,LEBRON,O LEBRON,D LEBRON,LEBRON WAR,LEBRON Contract Value,Box LEBRON,BOXOLEBRON,BOXDLEBRON
Cameron McGriff,2021-22,POR,46,SF,-0.32,-0.09,-0.23,0.1,"177,948.00",-0.64,-0.45,-0.19
Isaiah Todd,2021-22,WAS,74,PF,-0.33,-0.47,0.14,0.1,"284,882.00",-0.34,-0.34,0
Emmanuel Mudiay,2021-22,SAC,11,PG,-0.34,-0.26,-0.08,0,"41,967.00",-0.28,-0.21,-0.07
Caris LeVert,2021-22,IND/CLE,"1,780",SG,-0.34,1.5,-1.84,2.3,"6,807,461.00",-0.31,0.62,-0.93
Goga Bitadze,2021-22,IND,729,C,-0.34,0.28,-0.62,1,"2,788,912.00",0.13,0.02,0.11
Nic Claxton,2021-22,BRK,974,C,-0.34,-0.93,0.59,1.3,"3,732,536.00",-0.02,-0.84,0.82
Saben Lee,2021-22,DET,604,PG,-0.34,0.11,-0.45,0.8,"2,317,181.00",-0.19,-0.58,0.39
Rob Edwards,2021-22,OKC,11,SG,-0.34,-0.37,0.03,0,"41,552.00",-0.24,-0.32,0.08
Tacko Fall,2021-22,CLE,59,C,-0.35,-0.56,0.21,0.1,"224,456.00",-0.59,-0.64,0.06
Mason Jones,2021-22,LAL,51,SG,-0.35,-0.21,-0.13,0.1,"193,217.00",-0.33,-0.19,-0.14
Austin Reaves,2021-22,LAL,"1,418",SG,-0.35,-0.29,-0.05,1.9,"5,409,213.00",-1.67,-1.06,-0.61
Reggie Jackson,2021-22,LAC,"2,337",SG,-0.36,-0.33,-0.03,3.1,"8,857,854.00",-0.77,0.09,-0.87
Scotty Hopson,2021-22,OKC,18,SG,-0.36,-0.45,0.09,0,"67,183.00",-0.33,-0.42,0.09
Julius Randle,2021-22,NYK,"2,544",PF,-0.36,-0.33,-0.03,3.3,"9,630,092.00",0.64,0.29,0.36
Bruno Fernando,2021-22,BOS/HOU,153,C,-0.36,-0.39,0.03,0.2,"577,499.00",-0.3,-0.34,0.04
BJ Johnson,2021-22,ORL,65,SF,-0.36,-0.5,0.13,0.1,"244,527.00",-0.3,-0.4,0.11
Marko Simonovic,2021-22,CHI,35,C,-0.36,-0.22,-0.13,0,"133,504.00",-0.42,-0.21,-0.21
Jordan McLaughlin,2021-22,MIN,902,PG,-0.37,-0.61,0.23,1.2,"3,398,777.00",-0.17,-0.39,0.22
Dewayne Dedmon,2021-22,MIA,"1,065",C,-0.38,-1.38,1,1.4,"3,998,275.00",0.16,-1.53,1.69
Derrick Jones Jr.,2021-22,CHI,899,PF,-0.4,-0.89,0.49,1.1,"3,338,043.00",-1.39,-1.81,0.42
Matt Mooney,2021-22,NYK,2,SG,-0.4,-0.21,-0.18,0,"7,190.00",-0.41,-0.21,-0.2
Tyler Hall,2021-22,NYK,2,SG,-0.4,-0.22,-0.18,0,"7,184.00",-0.41,-0.21,-0.2
Javin DeLaurier,2021-22,MIL,3,C,-0.41,-0.15,-0.26,0,"10,373.00",-0.4,-0.18,-0.22
Robert Woodard II,2021-22,SAC,42,SF,-0.41,-0.39,-0.02,0.1,"155,974.00",-0.45,-0.35,-0.1
Nik Stauskas,2021-22,MIA/BOS,39,SG,-0.42,-0.09,-0.33,0,"142,671.00",-0.6,-0.22,-0.38
Buddy Hield,2021-22,SAC/IND,"2,499",SG,-0.42,1.28,-1.7,3.2,"9,171,830.00",-1.13,0.33,-1.46
Charles Bassey,2021-22,PHI,168,PF,-0.42,-1.13,0.72,0.2,"618,378.00",-0.69,-1.19,0.5
Hassani Gravett,2021-22,ORL,171,PG,-0.42,-0.87,0.45,0.2,"629,344.00",-0.7,-1.01,0.3
