PLAYER,Team(s),Pos,G,MP,Off,Def,Tot,WAR
David Duke Jr.'22-'23,Nets,PG,233,-2.6,-3.3,1.5,-1.8,0.1
AJ Green'22-'23,Bucks,SG,345,0.9,0.8,-2.8,-2,0.1
Udonis Haslem'22-'23,Heat,"PF, C",74,-6.8,-7,5.8,-1.2,0.1
Jay Huff'22-'23,Wizards,PF,95,1.8,2.2,-3.8,-1.6,0.1
Quenton Jackson'22-'23,Wizards,PG,135,-1.7,-2.3,1.3,-1,0.1
Jonathan Kuminga'22-'23,Warriors,PF,"1,455",-2.5,-2.6,0,-2.6,0.1
Theo Maledon'22-'23,Hornets,PG,854,-1,-1.2,-1.5,-2.6,0.1
Wesley Matthews'22-'23,Bucks,"SG, SF",861,-2.5,-2.4,-0.2,-2.6,0.1
Josh Minott'22-'23,Timberwolves,PF,102,-0.9,-0.5,0.6,0.1,0.1
Moses Moody'22-'23,Warriors,"SG, SF",978,-1.1,-1.3,-1.3,-2.6,0.1
Scotty Pippen Jr.'22-'23,Lakers,PG,32,-1.5,-3.6,5.1,1.6,0.1
Aleksej Pokusevski'22-'23,Thunder,C,701,-2,-2.5,0,-2.4,0.1
Joshua Primo'22-'23,Spurs,SG,93,-3.9,-3,2.5,-0.6,0.1
Jordan Schakel'22-'23,Wizards,SF,6,8.9,11.8,11.3,23,0.1
Jericho Sims'22-'23,Knicks,C,812,-1.9,-2.6,0,-2.6,0.1
Dru Smith'22-'23,Nets,SG,158,-1.5,-2.6,1.5,-1.1,0.1
Garrett Temple'22-'23,Pelicans,"SG, SF",162,-0.8,-2.3,0.6,-1.7,0.1
Cam Thomas'22-'23,Nets,"SG, SF",964,-0.5,-0.9,-1.6,-2.5,0.1
Stanley Umude'22-'23,Pistons,SG,2,6.9,12.4,47,59.4,0.1
Duane Washington Jr.'22-'23,Knicks,PG,394,0,-0.5,-1.7,-2.2,0.1
Jack White'22-'23,Nuggets,SF,66,0.5,-0.6,2.1,1.5,0.1
Donovan Williams'22-'23,Hawks,SG,4,22.4,23.3,20.4,43.7,0.1
Dylan Windler'22-'23,Cavaliers,"SG, SF",10,4.7,2.2,5.8,8,0.1
Gabe York'22-'23,Pacers,SG,56,-0.7,1,1,2.1,0.1
Deandre Ayton'22-'23,Suns,C,"2,354",-2.3,-2.4,-0.3,-2.7,0
Buddy Boeheim'22-'23,Pistons,SG,90,-2.4,-2.2,-0.9,-3.1,0
Leandro Bolmaro'22-'23,Jazz,SF,68,-11.5,-11.2,8.6,-2.6,0
Sterling Brown'22-'23,Lakers,SF,24,-6.2,-5.2,5.3,0.1,0
Deonte Burton'22-'23,Kings,PF,6,-8.8,-1.1,-0.7,-1.7,0
Vernon Carey Jr.'22-'23,Jazz,C,28,-7.1,-11.4,5.4,-6,0
Xavier Cooks'22-'23,Wizards,PF,126,-4.4,-3.3,0.2,-3.1,0
Seth Curry'22-'23,Nets,"PG, SG","1,269",-0.2,-0.8,-2.1,-2.8,0
JD Davison'22-'23,Celtics,PG,66,-1.7,-2.3,0.2,-2.1,0
Dewayne Dedmon'22-'23,76ers,C,431,-2.1,-3.2,0.4,-2.8,0
Keon Ellis'22-'23,Kings,SG,71,2.6,0.2,-1.6,-1.4,0
Michael Foster Jr.'22-'23,76ers,PF,1,-3,-16.7,6.4,-10.4,0
Danny Green'22-'23,Cavaliers,"SG, SF",178,-2.9,-3.5,0.5,-3,0
Joe Harris'22-'23,Nets,"SG, SF","1,571",-0.7,-0.8,-1.9,-2.7,0
Malcolm Hill'22-'23,Bulls,SF,9,-5.3,-3,3.9,1,0
Trevor Hudgins'22-'23,Rockets,SG,28,-4.6,-4.9,-1.2,-6.1,0
Frank Jackson'22-'23,Jazz,PG,5,-26.1,-22.4,1,-21.4,0
DaQuan Jeffries'22-'23,Knicks,SF,5,-9.2,-17.6,19.7,2.1,0
Carlik Jones'22-'23,Bulls,PG,56,-1.2,-0.2,-3.1,-3.3,0
Braxton Key'22-'23,Pistons,SF,9,2.5,-1.1,-0.5,-1.6,0
Louis King'22-'23,76ers,SF,29,3.8,5.3,-8.3,-3,0
Cody Martin'22-'23,Hornets,"SG, SF",134,-0.5,-0.4,-2.4,-2.8,0
Skylar Mays'22-'23,Trail Blazers,PG,189,2.5,1.9,-4.6,-2.7,0
Sam Merrill'22-'23,Cavaliers,SG,59,1.1,-0.4,-1.3,-1.7,0
Xavier Moon'22-'23,Clippers,SG,20,-1.8,-3.4,2.9,-0.5,0
Otto Porter Jr.'22-'23,Raptors,"SF, PF",146,-1.3,-2,-0.7,-2.6,0
Jason Preston'22-'23,Clippers,PG,125,-0.1,-0.3,-2.9,-3.1,0
Lester Quinones'22-'23,Warriors,SG,18,-10,-7.9,6.5,-1.4,0
Jared Rhoden'22-'23,Pistons,SF,198,-3.4,-2.3,-0.3,-2.6,0
Luka Samanic'22-'23,Jazz,PF,161,-3.4,-2.7,-0.5,-3.2,0
Jay Scrubb'22-'23,Magic,SG,30,2,1.9,-6.7,-4.8,0
Dereon Seabron'22-'23,Pelicans,SG,12,-1.2,-0.8,-2.3,-3.1,0
Chris Silva'22-'23,Mavericks,PF,3,-12.6,-13.8,10.8,-3.1,0
Kobi Simmons'22-'23,Hornets,SG,28,-3.8,-6.1,2.2,-3.9,0
Cole Swider'22-'23,Lakers,SF,41,0,0.9,-4.8,-3.9,0
Tristan Thompson'22-'23,Lakers,"PF, C",32,-5.9,-5.3,3.6,-1.6,0
P.J. Tucker'22-'23,76ers,"SF, PF","2,214",-3.2,-2.3,-0.5,-2.8,0
T.J. Warren'22-'23,Suns,"SF, PF",768,-2.1,-1.9,-0.7,-2.6,0
Trendon Watford'22-'23,Trail Blazers,"PF, C","1,182",-1.7,-2,-0.7,-2.7,0
Joe Wieskamp'22-'23,Raptors,SF,50,-6.1,-7.3,4.7,-2.5,0
Ochai Agbaji'22-'23,Jazz,SF,"1,209",-1.3,-1,-2,-3,-0.1
Dalano Banton'22-'23,Raptors,PG,279,-0.9,-1.7,-1.5,-3.2,-0.1
Bismack Biyombo'22-'23,Suns,C,952,-4.1,-3.6,0.7,-2.9,-0.1
Tony Bradley'22-'23,Bulls,C,33,-0.7,-1,-4.9,-5.9,-0.1
Julian Champagnie'22-'23,Spurs,SF,320,-0.7,-0.6,-2.8,-3.4,-0.1
John Collins'22-'23,Hawks,"PF, C","2,294",-2.7,-2.5,-0.3,-2.9,-0.1
Taj Gibson'22-'23,Wizards,"PF, C",480,-3.4,-2.8,-0.5,-3.3,-0.1
Jacob Gilyard'22-'23,Grizzlies,PG,41,-2.5,-3.4,-3,-6.5,-0.1
RaiQuan Gray'22-'23,Nets,PF,35,-2.2,-2.7,-2.9,-5.6,-0.1
R.J. Hampton'22-'23,Pistons,PG,750,-1.2,-1.4,-1.7,-3.1,-0.1
Jaden Hardy'22-'23,Mavericks,SG,708,-0.2,-0.3,-2.7,-3,-0.1
Reggie Jackson'22-'23,Nuggets,"PG, SG","1,675",-2.1,-2.6,-0.3,-2.9,-0.1
Mfiondu Kabengele'22-'23,Celtics,C,36,-4.4,-3.9,-6.3,-10.2,-0.1
Trevor Keels'22-'23,Knicks,SF,8,-12.5,-19.1,-14.1,-33.2,-0.1
Furkan Korkmaz'22-'23,76ers,"SG, SF",364,-2.5,-3.1,0,-3.1,-0.1
Vit Krejci'22-'23,Hawks,"PG, SG",165,-2,-2.2,-1.4,-3.6,-0.1
Chima Moneke'22-'23,Kings,SF,8,-14.2,-17.4,-11.1,-28.5,-0.1
Trevelin Queen'22-'23,Pacers,SG,70,-5.5,-5,-1.7,-6.7,-0.1
Neemias Queta'22-'23,Kings,C,29,-2.5,-6.4,-3.3,-9.7,-0.1
Marko Simonovic'22-'23,Bulls,C,20,-7.8,-6.1,-6.8,-12.9,-0.1
Xavier Sneed'22-'23,Hornets,SF,48,-3.3,-4.9,-0.7,-5.6,-0.1
Lindell Wigginton'22-'23,Bucks,PG,87,-0.2,-0.9,-3.2,-4.1,-0.1
Alondes Williams'22-'23,Nets,SG,5,-28.1,-27.9,-19.5,-47.4,-0.1
Ryan Arcidiacono'22-'23,Trail Blazers,PG,172,-7.1,-8.3,3.4,-4.9,-0.2
Jamaree Bouyea'22-'23,Wizards,PG,71,-7.9,-7.3,-0.1,-7.5,-0.2
